"에너지별(1)",에너지별(2),에너지별(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"에너지별(1)",에너지별(2),에너지별(3),강원,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,기타,강원,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,기타
"재생에너지 (toe)",바이오,바이오디젤,25840,3776,5324,3294,1357,645,1140,1078,1588,1126,839,1114,844,915,481,450,729,562,582,-,26394,4948,6245,3618,1531,669,1418,1082,1163,801,645,702,591,716,397,364,553,472,479,-
"재생에너지 (toe)",바이오,우드칩,342,-,-,-,-,-,-,-,-,-,-,-,-,-,342,-,-,-,-,-,8216,-,-,-,8015,-,-,-,-,-,-,-,-,-,201,-,-,-,-,-
"재생에너지 (toe)",바이오,성형탄,107,21,24,14,6,3,6,4,5,3,2,3,2,3,2,2,3,2,2,-,157,31,35,21,9,5,9,6,7,4,4,5,4,5,3,2,4,3,3,-
"재생에너지 (toe)",바이오,임산연료,38460,2243,1708,2326,384,752,224,2875,4174,2028,2524,3351,2808,1798,2241,1624,4473,1462,1464,-,35690,2082,1585,2159,356,698,208,2668,3874,1882,2342,3110,2606,1669,2080,1507,4151,1356,1359,-
"재생에너지 (toe)",바이오,목재펠릿,368854,485,387,350025,351,110,7,6999,450,599,323,3055,464,2124,273,805,1557,27,58,753,358928,485,387,317266,3041,110,7,27412,450,599,323,2926,319,2124,273,809,1557,27,58,753
"재생에너지 (toe)",바이오,폐목재,183,-,-,183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,-,-,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",바이오,흑액,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",바이오,하수슬러지고형연료,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",바이오,Bio-SRF,43445,-,-,-,43445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30267,-,-,-,30267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",바이오,바이오중유,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",폐기물,소계,241538,459,2376,68894,61656,9,138,41156,492,-,64393,-,82,92,-,-,856,-,936,-,274675,3036,4764,37280,109650,1044,1719,67986,670,304,46581,-,-,50,-,-,623,-,969,-
"재생에너지 (toe)",폐기물,폐가스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",폐기물,산업폐기물,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",폐기물,생활폐기물,3471,459,-,-,-,9,138,-,492,-,407,-,82,92,-,-,856,-,936,-,8800,3036,-,385,-,1044,1719,-,670,304,-,-,-,50,-,-,623,-,969,-
"재생에너지 (toe)",폐기물,시멘트킬른보조연료,235691,-,-,68894,61656,-,-,41156,-,-,63985,-,-,-,-,-,-,-,-,-,261112,-,-,36894,109650,-,-,67986,-,-,46581,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",폐기물,SRF,2376,-,2376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4764,-,4764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"재생에너지 (toe)",폐기물,정제연료유,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"신에너지 (toe)",연료전지,소계,58819,77,77,29,31992,-,-,1,-,7,26507,121,-,-,-,-,-,-,-,6,96154,13599,97,18048,32285,-,-,2,-,8,31988,121,-,-,-,-,-,-,-,6
"신에너지 (toe)",연료전지,사업용,58621,-,-,-,31992,-,-,-,-,-,26507,121,-,-,-,-,-,-,-,-,95926,13514,-,18018,32285,-,-,-,-,-,31988,121,-,-,-,-,-,-,-,-
"신에너지 (toe)",연료전지,자가용,198,77,77,29,-,-,-,1,-,7,-,-,-,-,-,-,-,-,-,6,228,85,97,30,-,-,-,2,-,8,-,-,-,-,-,-,-,-,-,6
"신에너지 (toe)",IGCC,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
